redshift_z,lookback_time_Gyr,universe_age_Gyr,comoving_distance_Gly
0.0,0.0,13.786885302009706,0.0
0.05,0.6968567320217313,13.090028569987977,0.7140669817842527
0.1,1.3451981508947872,12.44168715111492,1.4108406109885672
0.15000000000000002,1.94906120478214,11.837824097227566,2.0900090623565446
0.2,2.512071593212973,11.274813708796733,2.7513831199984877
0.25,3.037504013855171,10.749381288154535,3.3948876660839464
0.30000000000000004,3.5283292058457687,10.258556096163938,4.0205514138482945
0.35000000000000003,3.9872512952640635,9.799634006745645,4.628495564167674
0.4,4.416737995762939,9.370147306246766,5.218921983361756
0.45,4.819045517993418,8.967839784016288,5.792101397716279
0.5,5.196239527320521,8.590645774689186,6.348361991297799
0.55,5.550213112592296,8.236672189417412,6.888078688426504
0.6000000000000001,5.882702454513675,7.904182847496032,7.411663307625869
0.65,6.195300684423634,7.59158461758607,7.919555693785327
0.7000000000000001,6.489470283211243,7.297415018798466,8.412215870973052
0.75,6.7665542706800395,7.020331031329665,8.890117209380474
0.8,7.02778636645383,6.759098935555875,9.353740564735457
0.8500000000000001,7.274300255911412,6.512585046098294,9.803569325098975
0.9,7.5071380622512995,6.279747239758406,10.24008528600823
0.9500000000000001,7.727258103937042,6.059627198072665,10.663765268288875
1.0,7.935542002084359,5.851343299925346,11.075078391609043
1.05,8.132801192431637,5.654084109578069,11.47448391937307
1.1,8.319782889723612,5.467102412286091,11.862429595553296
1.1500000000000001,8.497175547502488,5.289709754507217,12.239350400529405
1.2000000000000002,8.665613852688058,5.1212714493216485,12.605667660199403
1.25,8.825683291451146,4.961202010558558,12.96178845000994
1.3,8.977924320436637,4.8089609815730725,13.308105242762506
1.35,9.122836175190011,4.664049126819692,13.644995755851943
1.4000000000000001,9.260880345580938,4.52600495642877,13.972822959849413
1.4500000000000002,9.392483746044698,4.394401555965006,14.291935215986667
1.5,9.518041606555427,4.2688436954542786,14.602666515115702
1.55,9.637920108397093,4.1489651936126135,14.905336795122796
1.6,9.752458787013925,4.034426514995779,15.200252317603859
1.6500000000000001,9.861972722507305,3.9249125795024002,15.487706087906714
1.7000000000000002,9.966754536709747,3.8201307652999597,15.767978305466858
1.75,10.067076214214776,3.7198090877949324,16.041336833760834
1.8,10.163190763279424,3.6236945387302812,16.30803768122697
1.85,10.255333731146553,3.5315515708631526,16.568325486205616
1.9000000000000001,10.343724587058396,3.4431607149513095,16.822434000375075
1.9500000000000002,10.42856798504979,3.358317316959916,17.07058656634441
2.0,10.510054917517317,3.2768303844923885,17.312996586046662
2.0500000000000003,10.588363769555967,3.1985215324537393,17.549867977385652
2.1,10.663661283133631,3.1232240188760745,17.78139561725437
2.15,10.736103439331512,3.050781862678195,18.007765769585472
2.2,10.805836266110008,2.9810490358996975,18.229156497535
2.25,10.872996578360269,2.913888723649437,18.44573805925548
2.3000000000000003,10.937712656365758,2.849172645643947,18.657673286999078
