mass_Msun,mass_kg,schwarzschild_radius_km,hawking_temperature_K
1.4367070356801963e-19,285684883923.89996,4.243083468966887e-19,429459428511.132
1.4780211421281539e-19,293900070048.757,4.365098046574544e-19,417455045056.2101
1.520523281591348e-19,302351492974.5948,4.490621288873294e-19,405786211859.50696
1.564247617278562e-19,311045945952.9902,4.619754091413055e-19,394443549515.89655
1.6092292947996392e-19,319990417583.02386,4.752600251107486e-19,383417940796.2875
1.6555044704154164e-19,329192097428.6943,4.88926654966562e-19,372700523319.22345
1.7031103401002202e-19,338658381797.90845,5.029862839423294e-19,362282682427.2769
1.7520851694398884e-19,348396879687.61346,5.174502131642142e-19,352156044262.6121
1.8024683243896776e-19,358415418899.9142,5.323300687348131e-19,342312469036.0706
1.8543003029166517e-19,368722052334.06744,5.476378110782289e-19,332744044484.4025
1.9076227675518364e-19,379325064459.38,5.633857445538248e-19,323443079510.4113
1.96247857887867e-19,390232977974.28687,5.7958652734650175e-19,314402098000.82916
2.0189118299842052e-19,401454560656.86926,5.962531816413064e-19,305613832817.04114
2.07696788190125e-19,412998832412.41785,6.133991040906991e-19,297071219953.7399
2.1366934000694211e-19,424875072523.6042,6.310380765827402e-19,288767392860.9004
2.1981363918449496e-19,437092827109.1927,6.491842773190082e-19,280695676924.4288
2.26134624508886e-19,449661916797.1845,6.678522922109989e-19,272849584101.12653
2.3263737678649687e-19,462592444618.64545,6.8705712660429225e-19,265222807703.59552
2.3932712292794556e-19,475894804128.5319,7.068142173398626e-19,257809217330.9176
2.4620924014946205e-19,489579687760.0008,7.271394451621679e-19,250602853941.05573
2.5328926029510906e-19,503658095419.0155,7.480491474841342e-19,243597925060.95996
2.60572874283261e-19,518141343326.036,7.695601315191164e-19,236788800130.59583
2.680659366809789e-19,533041073112.0261,7.9168968779058125e-19,230170005977.08557
2.757744704098933e-19,548369261175.9605,8.14455604030175e-19,223736222415.38885
2.8370467158744425e-19,564138228311.4852,8.378761794755493e-19,217482277971.92398
2.918629145073035e-19,580360649610.3378,8.619702395792378e-19,211403145727.7522
3.0025575676303665e-19,597049564650.5955,8.867571511405694e-19,205493939277.9353
3.088899445191026e-19,614218387977.9,9.12256837872719e-19,199749908803.84003
3.177724179334018e-19,631880919888.0315,9.384897964173309e-19,194166437255.2469
3.269103167357931e-19,650051357519.6226,9.654771128197748e-19,188739036639.15295
3.3631098596698664e-19,668744306265.7739,9.932404794780429e-19,183463344412.33716
3.459819818825064e-19,687974791513.9076,1.0218022125791555e-18,178335119974.7367
3.55931078026388e-19,707758270723.1317,1.0511852700368506e-18,173350241260.8645
3.661662714795589e-19,728110645848.9585,1.0814132699451733e-18,168504701426.48947
3.766957892878993e-19,749048276125.3092,1.1125105095627195e-18,163794605627.93176
3.8752809507511892e-19,770587991214.0217,1.1445019848427063e-18,159216167891.39844
3.9867189584583927e-19,792747104732.576,1.177413410524782e-18,154765708069.80774
4.101361489842574e-19,815543428170.7263,1.2112712408044559e-18,150439648884.6982
4.219300694541142e-19,838995285207.4225,1.2461026905970488e-18,146234513050.80316
4.340631372056573e-19,863121526439.3335,1.2819357574129667e-18,142146920481.0184
4.465451047956321e-19,887941544532.9706,1.3187992438621216e-18,138173585569.48508
4.593860052263954e-19,913475289812.5304,1.3567227808054942e-18,134311314550.6174
4.725961600104149e-19,939743286295.9097,1.3957368511723382e-18,130557002931.9625
4.86186187466728e-19,966766648191.9646,1.4358728144624381e-18,126907632998.80135
5.001670112559129e-19,994567096872.0452,1.4771629319527752e-18,123360271388.5192
5.145498691605563e-19,1023166978329.6914,1.5196403926292306e-18,119912066732.76077
5.293463221181472e-19,1052589281142.2721,1.5633393398637836e-18,116560247365.5096
5.44568263513789e-19,1082857654949.264,1.6082948988590466e-18,113302119095.21538
5.602279287400702e-19,1113996429461.7676,1.6545432048818064e-18,110135063039.21046
5.763379050318813e-19,1146030634018.7449,1.7021214323085755e-18,107056533518.64973
5.929111415840457e-19,1178986017705.6274,1.751067824506393e-18,104064056012.29172
6.099609599598471e-19,1212889070051.3572,1.8014217245727347e-18,101155225167.48553
6.275010647989358e-19,1247767042320.7397,1.853223606959597e-18,98327702866.74197
6.455455548330756e-19,1283647969418.926,1.906515110006736e-18,95579216348.36203
6.641089342187418e-19,1320560692425.9414,1.961339069410672e-18,92907556379.58514
6.832061241955159e-19,1358534881779.0574,2.0177395526558915e-18,90310575480.81464
7.028524750798178e-19,1397601061121.9653,2.075761894436405e-18,87786186199.46817
7.230637786034474e-19,1437790631839.597,2.135452733095647e-18,85332359432.08923
7.438562806069907e-19,1479135898298.5828,2.1968600481144167e-18,82947122793.35172
7.65246694098241e-19,1521670093813.5293,2.2600331986768207e-18,80628559030.65544
7.87252212686068e-19,1565427407359.8657,2.325022963345055e-18,78374804483.04349
8.098905244006851e-19,1610443011055.0303,2.3918815808753394e-18,76184047583.18687
8.3317982591123335e-19,1656753088429.7102,2.4606627922072713e-18,74054527401.2522
8.571388371523113e-19,1704394863512.2563,2.5314218836609295e-18,71984532229.46179
8.81786816371e-19,1753406630749.2422,2.6042157313758487e-18,69972398206.22835
9.07143575606692e-19,1803827785786.639,2.6791028470282066e-18,68016507978.73852
9.332294966159554e-19,1855698857135.929,2.7561434248623503e-18,66115289402.92933
9.60065547255404e-19,1909061538750.9531,2.835399390074974e-18,64267214279.79735
9.876732983356785e-19,1963958723541.5466,2.9169344485906485e-18,62470797127.03123
1.0160749409600057e-18,2020434537850.7424,3.000814138268463e-18,60724593984.98501
1.0452933043614642e-18,2078534376923.6406,3.0871058815815316e-18,59027201256.01965
1.0753518742530505e-18,2138304941395.9634,3.1758790398109638e-18,57377254576.295654
1.1062748117055565e-18,2199794274832.148,3.2672049687986404e-18,55773427719.09379
1.1380869725681635e-18,2263051802342.616,3.3611570763028246e-18,54214431528.79822
1.1708139274476375e-18,2328128370311.8037,3.4578108810035004e-18,52699012884.669846
1.2044819822619136e-18,2395076287268.347,3.557244073204088e-18,51225953693.5914
1.2391181993848125e-18,2463949365930.7183,3.659536577278965e-18,49794069910.963
