radius_pix,dx_pix,dy_pix,offset_arcsec,line_flux,peak_channel_SNR,line_SNR
18,18,0,1.008000000000288,-0.0012945648127154923,,-0.4106827537959184
18,18,4,1.0325889792170984,-0.0005152713332650114,,-0.16346269265073535
18,17,7,1.0295474734079073,0.0015052159466114557,,0.47750890796672507
18,15,10,1.0095543571302055,0.0033090501912817474,,1.0497503343644181
18,13,13,1.0295474734079073,0.004006125358096521,,1.2708877747601164
18,10,15,1.0095543571302055,0.0008199916407435107,,0.26013098904163373
18,7,17,1.0295474734079073,-0.001637613990782375,,-0.5195103534279625
18,4,18,1.0325889792170984,-0.002019436615069212,,-0.6406382917617571
18,0,18,1.008000000000288,-0.005084160596655405,,-1.6128795206439908
18,-4,18,1.0325889792170984,-0.0026172411006265607,,-0.8302834836817076
18,-7,17,1.0295474734079073,0.004187644226279685,,1.3284721211900261
18,-10,15,1.0095543571302055,0.0069445198460132435,,2.2030527217627314
18,-13,13,1.0295474734079073,0.003153599203406238,,1.000435661855209
18,-15,10,1.0095543571302055,-0.0003830172152152766,,-0.12150690575769835
18,-17,7,1.0295474734079073,-0.003092869268211391,,-0.9811699311797772
18,-18,4,1.0325889792170984,-0.0027493020761281766,,-0.8721779987768727
18,-18,0,1.008000000000288,-0.005262405480245482,,-1.6694252408148151
18,-18,-4,1.0325889792170984,-0.006769704619169333,,-2.1475950126850987
18,-17,-7,1.0295474734079073,-0.004180525967720529,,-1.3262139522682448
18,-15,-10,1.0095543571302055,-0.0006654440800980612,,-0.21110291630638028
18,-13,-13,1.0295474734079073,-0.0032064967484671785,,-1.0172166752593212
18,-10,-15,1.0095543571302055,-0.004582510799555863,,-1.4537380716485897
18,-7,-17,1.0295474734079073,-0.0036024408728917686,,-1.1428244638928757
18,-4,-18,1.0325889792170984,-0.0016886138647936276,,-0.5356893569791652
18,0,-18,1.008000000000288,-0.0021335894508162203,,-0.6768516975933718
18,4,-18,1.0325889792170984,0.0006477910898572203,,0.20550274969159812
18,7,-17,1.0295474734079073,0.004808278944099504,,1.5253598880380597
18,10,-15,1.0095543571302055,0.008706499018931925,,2.7620162064471616
18,13,-13,1.0295474734079073,0.008298099837774655,,2.6324572235995984
18,15,-10,1.0095543571302055,0.004582755075525667,,1.4538155648161624
18,17,-7,1.0295474734079073,0.0015262399877691334,,0.48417849378718514
18,18,-4,1.0325889792170984,-2.698152019433599e-05,,-0.008559513518498
