selected_family,nist_spectrum,element,ion_stage,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,nist_query_url,database,database_version
C IV,C IV,Carbon,C3+,154.82043,0.00012,154.82043,0.00012,1000,2.65e+08,1.90e-01,1.94e+00,-0.419,A,0.000000,8.008258,1s2.2s,2S,1/2,1s2.2p,2P*,3/2,2,4,,T5118LS,"u57,L1113,L9769",https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+IV&limits_type=0&low_w=153.800000&upp_w=155.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
C IV,C IV,Carbon,C3+,155.0784,0.0003,155.0784,0.0003,900,2.64e+08,9.52e-02,9.72e-01,-0.720,A,0.000000,7.994939,1s2.2s,2S,1/2,1s2.2p,2P*,1/2,2,2,,T5118LS,"u57,L1113,L9769",https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+IV&limits_type=0&low_w=153.800000&upp_w=155.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
