selected_family,nist_spectrum,element,ion_stage,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,nist_query_url,database,database_version
C III],C III,Carbon,C2+,,189.736,,1.72e+07,2.78e-02,1.74e-01,-1.555,B,39.401467,45.9360,1s2.2s.4p,3P*,0,1s2.2s.8d,3D,1,1,3,,T5633LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+III&limits_type=0&low_w=189.700000&upp_w=191.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
C III],C III,Carbon,C2+,,189.744,,2.32e+07,2.09e-02,3.91e-01,-1.203,B,39.401746,45.9360,1s2.2s.4p,3P*,1,1s2.2s.8d,3D,2,3,5,,T5633LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+III&limits_type=0&low_w=189.700000&upp_w=191.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
C III],C III,Carbon,C2+,,189.744,,1.29e+07,6.96e-03,1.30e-01,-1.680,B,39.401746,45.9360,1s2.2s.4p,3P*,1,1s2.2s.8d,3D,1,3,3,,T5633LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+III&limits_type=0&low_w=189.700000&upp_w=191.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
C III],C III,Carbon,C2+,,189.757,,1.41e+08,7.61e-02,2.38e+00,-0.420,B,41.301394,47.83524,1s2.2p.(2P*).3p,1D,2,1s2.2p.(2P*).4d,1D*,2,5,5,,T5633,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+III&limits_type=0&low_w=189.700000&upp_w=191.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
C III],C III,Carbon,C2+,,189.762,,3.09e+07,2.34e-02,7.29e-01,-0.933,B,39.402339,45.9360,1s2.2s.4p,3P*,2,1s2.2s.8d,3D,3,5,7,,T5633LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+III&limits_type=0&low_w=189.700000&upp_w=191.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
C III],C III,Carbon,C2+,,189.762,,7.74e+06,4.18e-03,1.31e-01,-1.680,B,39.402339,45.9360,1s2.2s.4p,3P*,2,1s2.2s.8d,3D,2,5,5,,T5633LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+III&limits_type=0&low_w=189.700000&upp_w=191.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
C III],C III,Carbon,C2+,,189.762,,8.60e+05,2.79e-04,8.70e-03,-2.856,C+,39.402339,45.9360,1s2.2s.4p,3P*,2,1s2.2s.8d,3D,1,5,3,,T5633LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+III&limits_type=0&low_w=189.700000&upp_w=191.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
C III],C III,Carbon,C2+,,190.6683,,5.19e-03,1.41e-11,4.39e+01,-10.849,B+,0.000000,6.502613,1s2.2s2,1S,0,1s2.2s.2p,3P*,2,1,5,M2,"T4308,T3474",,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+III&limits_type=0&low_w=189.700000&upp_w=191.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
C III],C III,Carbon,C2+,,190.8734,,1.14e+02,1.87e-07,1.17e-06,-6.729,B+,0.000000,6.495625,1s2.2s2,1S,0,1s2.2s.2p,3P*,1,1,3,,"u24,T6067",,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=C+III&limits_type=0&low_w=189.700000&upp_w=191.800000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
