selected_family,nist_spectrum,element,ion_stage,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,nist_query_url,database,database_version
N IV],N IV,Nitrogen,N3+,,148.3321,,1.15e-02,1.90e-11,2.77e+01,-10.722,B+,0.00000,8.35856,1s2.2s2,1S,0,1s2.2s.2p,3P*,2,1,5,M2,"T4308,T3474",,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+IV&limits_type=0&low_w=147.500000&upp_w=149.200000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N IV],N IV,Nitrogen,N3+,,148.6496,,5.95e+02,5.91e-07,2.89e-06,-6.228,B,0.00000,8.34070,1s2.2s2,1S,0,1s2.2s.2p,3P*,1,1,3,,u24,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+IV&limits_type=0&low_w=147.500000&upp_w=149.200000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
