method,centroid_mean_GHz,centroid_std_GHz,offset_mean_MHz,SNR_mean,mask_pixels_mean
Fixed beam,279.9003536089095,2.29424996071095e-12,-0.6463910905457245,2.4638044828874235,23.0
Free optimized mask,279.90165191949467,0.0,0.6519194946577045,4.370990670521949,21.0
Target-seeded mask,279.89991435515907,0.0,-1.0856448409413133,2.0353925007962523,23.0
