method,repeat,centroid_GHz,offset_MHz,integrated_SNR_proxy,mask_pixels
Fixed beam,1,279.9003536089121,-0.6463910879119794,2.4638044841090165,23
Target-seeded mask,1,279.89991435515907,-1.0856448409413133,2.0353925007962523,23
Free optimized mask,1,279.90165191949467,0.6519194946577045,4.370990670521949,21
Fixed beam,2,279.90035360890835,-0.6463910916636451,2.4638044825852745,23
Target-seeded mask,2,279.89991435515907,-1.0856448409413133,2.0353925007962523,23
Free optimized mask,2,279.90165191949467,0.6519194946577045,4.370990670521949,21
Fixed beam,3,279.90035360890795,-0.646391092061549,2.4638044819679785,23
Target-seeded mask,3,279.89991435515907,-1.0856448409413133,2.0353925007962523,23
Free optimized mask,3,279.90165191949467,0.6519194946577045,4.370990670521949,21
