z,score,contributing_lines
1.9,1.1740298548351047,5
1.9004999999999999,1.174417776102344,5
1.9009999999999998,1.1748056973695833,5
1.9015,1.1751936186368226,5
1.902,1.1755815399040623,5
1.9024999999999999,1.1759694611713014,5
1.9029999999999998,1.1763573824385407,5
1.9035,1.1767453037057805,5
1.904,1.1771332249730195,5
1.9044999999999999,1.1775211462402588,5
1.9049999999999998,1.1779090675074981,5
1.9055,1.1782969887747379,5
1.906,1.178684910041977,5
1.9064999999999999,1.1790728313092167,5
1.9069999999999998,1.179460752576456,5
1.9075,1.1798486738436953,5
1.908,1.1802365951109346,5
1.9084999999999999,1.1806245163781741,5
1.9089999999999998,1.1810124376454132,5
1.9095,1.181400358912653,5
1.91,1.1817882801798922,5
1.9104999999999999,1.1821762014471313,5
1.9109999999999998,1.1825641227143706,5
1.9115,1.1829520439816104,5
1.912,1.1833399652488494,5
1.9124999999999999,1.1837278865160887,5
1.9129999999999998,1.1841158077833283,5
1.9135,1.1845037290505676,5
1.914,1.1848916503178069,5
1.9144999999999999,1.1852795715850464,5
1.9149999999999998,1.1856674928522857,5
1.9155,1.1860554141195248,5
1.916,1.1864433353867645,5
1.9164999999999999,1.186831256654004,5
1.9169999999999998,1.187219177921243,5
1.9175,1.1876070991884826,5
1.918,1.1879950204557221,5
1.9184999999999999,1.1883829417229612,5
1.9189999999999998,1.1887708629902005,5
1.9195,1.1891587842574403,5
1.92,1.1895467055246791,5
1.9204999999999999,1.1899346267919186,5
1.9209999999999998,1.190322548059158,5
1.9215,1.1907104693263972,5
1.922,1.1910983905936365,5
1.9224999999999999,1.191486311860876,5
1.9229999999999998,1.1918742331281158,5
1.9235,1.1922621543953549,5
1.924,1.1926500756625944,5
1.9244999999999999,1.193037996929834,5
1.9249999999999998,1.1934259181970732,5
1.9255,1.1938138394643125,5
1.926,1.194201760731552,5
1.9264999999999999,1.1945896819987911,5
1.9269999999999998,1.1949776032660304,5
1.9275,1.1953655245332702,5
1.928,1.1957534458005095,5
1.9284999999999999,1.1961413670677485,5
1.9289999999999998,1.1965292883349878,5
1.9295,1.1969172096022274,5
1.93,1.1973051308694669,5
1.9304999999999999,1.1976930521367062,5
1.9309999999999998,1.1980809734039455,5
1.9315,1.1984688946711848,5
1.932,1.1988568159384243,5
1.9324999999999999,1.1992447372056638,5
1.9329999999999998,1.199632658472903,5
1.9335,1.2000205797401424,5
1.934,1.200408501007382,5
1.9344999999999999,1.200796422274621,5
1.9349999999999998,1.2011843435418603,5
1.9355,1.2015722648091,5
1.936,1.2019601860763391,5
1.9364999999999999,1.2023481073435784,5
1.9369999999999998,1.202736028610818,5
1.9375,1.2031239498780573,5
1.938,1.2035118711452966,5
1.9385,1.2038997924125359,5
1.9389999999999998,1.2042877136797756,5
1.9395,1.2046756349470147,5
1.94,1.2050635562142542,5
1.9405,1.2054514774814937,5
1.9409999999999998,1.2058393987487328,5
1.9415,1.2062273200159725,5
1.942,1.2066152412832118,5
1.9425,1.207003162550451,5
1.9429999999999998,1.2073910838176902,5
1.9435,1.20777900508493,5
1.944,1.208166926352169,5
1.9445,1.2085548476194083,5
1.9449999999999998,1.2089427688866479,5
1.9455,1.2093306901538872,5
1.946,1.2097186114211265,5
1.9465,1.210106532688366,5
1.9469999999999998,1.2104944539556053,5
1.9475,1.2108823752228446,5
1.948,1.2112702964900839,5
1.9485,1.2116582177573239,5
1.9489999999999998,1.212046139024563,5
1.9495,1.2124340602918022,5
1.95,1.212821981559042,5
1.9505,1.2132099028262808,5
1.9509999999999998,1.2135978240935201,5
1.9515,1.2139857453607599,5
1.952,1.2143736666279992,5
1.9525,1.214761587895238,5
1.9529999999999998,1.2151495091624778,5
1.9535,1.207607968659456,5
1.954,1.1932508786726161,5
1.9545,1.178893788685767,5
1.9549999999999998,1.1477374627727803,5
1.9555,1.0891215477784255,5
1.956,1.0305056327839932,5
1.9565,0.9904864883403235,5
1.9569999999999999,1.0157464288475073,5
1.9575,1.041006369354724,5
1.958,1.0635506522489606,5
1.9585,1.0460533143959423,5
1.9589999999999999,1.028555976542912,5
1.9595,1.0110586386898586,5
1.96,0.9949189964207892,5
1.9605,0.9786988642079415,5
1.9609999999999999,0.9624787319950723,5
1.9615,0.9278896689807555,5
1.962,0.885879048438745,5
1.9625,0.8438684278966792,5
1.9629999999999999,0.854945613790874,5
1.9635,0.9068326694586795,5
1.964,0.9587197251265528,5
1.9645,0.991664791351792,5
1.9649999999999999,0.9962907863772003,5
1.9655,1.000916781402585,5
1.966,1.0082948523504607,5
1.9665,1.0253601982105187,5
1.9669999999999999,1.0424255440705634,5
1.9675,1.0578812416971266,5
1.968,1.0686316985186395,5
1.9685,1.0793821553401561,5
1.9689999999999999,1.090132612161687,5
1.9695,1.0882190597885764,5
1.97,1.0863367568210733,5
1.9705,1.0844544538536063,5
1.9709999999999999,1.0754932166775404,5
1.9715,1.0644127277913904,5
1.972,1.05333223890527,5
1.9725,1.058629364646789,5
1.9729999999999999,1.072680892126246,5
1.9735,1.0867324196057158,5
1.974,1.1059644237482258,5
1.9745,1.126887488782909,5
1.9749999999999999,1.147810553817588,5
1.9754999999999998,1.163564613156553,5
1.976,1.1629621072194944,5
1.9765,1.1623596012823816,5
1.9769999999999999,1.161057044220725,5
1.9775,1.1538935071107217,5
1.978,1.146729970000762,5
1.9785,1.1391274511063434,5
1.9789999999999999,1.117293186069437,5
1.9794999999999998,1.0978811437438203,5
1.98,1.0784691014182033,5
1.9805,1.0868388484048581,5
1.9809999999999999,1.103749973555597,5
1.9815,1.1206610987063579,5
1.982,1.1352144443842647,5
1.9825,1.148931570081046,5
1.9829999999999999,1.1626486957777908,5
1.9834999999999998,1.1810247222355044,5
1.984,1.2029878422587772,5
1.9845,1.2249509622820498,5
1.9849999999999999,1.2389189453520453,5
1.9855,1.2266327609873042,5
1.986,1.2143465766226023,5
1.9865,1.1994421084509472,5
1.9869999999999999,1.1782168194401041,5
1.9874999999999998,1.1569915304292915,5
1.988,1.1355754375189442,5
1.9885,1.1072828043034666,5
1.9889999999999999,1.078673251757386,5
1.9895,1.0500636992112675,5
1.99,1.021248006295427,5
1.9905,0.9940221083308349,5
1.9909999999999999,0.9667962103662179,5
1.9914999999999998,0.9493772733829656,5
1.992,0.936537763648675,5
1.9925,0.9236982539143845,5
1.9929999999999999,0.926236712171002,5
1.9935,0.9357383469199473,5
1.994,0.9452399816688685,5
1.9945,0.9526857796369826,5
1.9949999999999999,0.956329282374954,5
1.9954999999999998,0.9599727851129247,5
1.996,0.9602020512298463,5
1.9965,0.9460624122312231,5
1.9969999999999999,0.9319227732326496,5
1.9974999999999998,0.917701946398985,5
1.998,0.9103061395234376,5
1.9985,0.9033732558185993,5
1.9989999999999999,0.8964403721137809,5
1.9994999999999998,0.8922142603012232,5
2.0,0.8950162698024462,5
2.0004999999999997,0.897818279303717,5
2.001,0.9095156566826098,5
2.0015,0.9227079153841157,5
2.002,0.9359001740855746,5
2.0025,0.9663254100359776,5
2.003,1.0034638021546747,5
2.0035,1.0406021942733719,5
2.004,1.0662680949513454,5
2.0044999999999997,1.0796104722048527,5
2.005,1.092952849458361,5
2.0055,1.1014441246949274,5
2.006,1.0832525844120549,5
2.0065,1.065061044129134,5
2.007,1.0461156296514826,5
2.0075,1.036216860781031,5
2.008,1.026922844630193,5
2.0084999999999997,1.0177608827666889,5
2.009,1.0429566999760076,5
2.0095,1.0750500042355657,5
2.01,1.1071433084950497,5
2.0105,1.121544962667901,5
2.011,1.1267785633746372,5
2.0115,1.1320121640813734,5
2.012,1.1230992808196278,5
2.0124999999999997,1.106354856379186,5
2.013,1.0896104319387447,5
2.0135,1.0815144643301897,5
2.014,1.0787297671648821,5
2.0145,1.0759450699995767,5
2.015,1.0650955090493441,5
2.0155,1.0469594874751256,5
2.016,1.028823465900907,5
2.0164999999999997,1.0173228525205449,5
2.017,1.0246182033098719,5
