wavelength_um,flux_microJy,continuum_microJy,residual_microJy,residual_smooth_microJy
1.699355959892273,0.689836536527395,0.5105441917180618,0.1792923448093332,0.15837103323630522
1.7004199028015137,0.5146020261203468,0.49832214329603886,0.016279882824307923,-0.0037438667576194518
1.7014838457107544,0.26354656574157564,0.4863989516170705,-0.22285238587549483,-0.1243718454543544
1.7025477886199951,0.22165176937545336,0.47477461668115656,-0.2531228473057032,-0.2035129028539
1.7036117315292358,0.447938005999583,0.46344913848829716,-0.015511132488714163,-0.21719157889772125
1.7046756744384766,0.08088182803414774,0.4524225170384923,-0.37154068900434456,-0.20362205327082142
1.7057396173477173,0.26537615755571387,0.44169475233174194,-0.17631859477602807,-0.23536606680180203
1.7068034410476685,0.16846149635188237,0.43126584436804605,-0.2628043480161637,-0.29641529663704536
1.7078673839569092,0.13224735207428917,0.4211357931474047,-0.2888884410731155,-0.2420374894515025
1.70893132686615,0.15902159427407264,0.41130459866981783,-0.2522830043957452,-0.22264037051885915
1.709995150566101,0.27847214240883494,0.4017722609352855,-0.12330011852645056,-0.15330336404332795
1.7110590934753418,0.2996734372435775,0.39253877994380765,-0.09286534270023017,-0.1281945268293675
1.7121230363845825,0.24458591066103433,0.3836041556953843,-0.13901824503434998,-0.14994393856932786
1.7131868600845337,0.1386025733694197,0.37496838819001554,-0.23636581482059585,-0.19856346189631546
1.7142508029937744,0.1566054312514554,0.3666314774277012,-0.2100260461762458,-0.1998608589647883
1.7153146266937256,0.21104120554538028,0.35859342340844136,-0.14755221786306108,-0.12938788226600237
1.7163785696029663,0.32403112822118774,0.35085422613223605,-0.02682309791104831,-0.04404688725496753
1.7174423933029175,0.39921097334366257,0.34341388559908526,0.05579708774457731,0.007231978778042021
1.7185063362121582,0.33603012523973874,0.336272401808989,-0.00024227656925024377,0.023592411408905566
1.7195701599121094,0.3437391885973372,0.3294297747619472,0.014309413835390028,0.039912967654308504
1.7206339836120605,0.37120575108838283,0.3228860044579599,0.04831974663042293,0.07465165166444433
1.7216979265213013,0.45818949879316806,0.31664109089702713,0.14154840789614093,0.07356658540679153
1.7227617502212524,0.4087655736884188,0.3106950340791489,0.09807053960926992,0.0773149450386825
1.7238255739212036,0.24884337674418558,0.3050478340043251,-0.056204457260139534,0.0649329244148798
1.7248893976211548,0.3992403416889432,0.29969949067255586,0.09954085101638732,0.006394289065359354
1.7259533405303955,0.289603304352944,0.29465000408383535,-0.005046699730891335,-0.037137050697625615
1.7270171642303467,0.16698100836796376,0.2962253276402663,-0.12924431927230257,-0.03946331455451056
