line,rest_wavelength_um,predicted_observed_um,local_peak_um,z_from_local_peak,offset_from_template_nm,relative_weight,local_peak_residual_flux
[O III] 4959,0.495891,1.7178358494936719,1.721916997283955,2.4723699306580578,4.081147790283124,0.55,0.08199143396268482
[O III] 5007,0.500684,1.7344394725209564,1.7504206895828247,2.49605877076724,15.98121706186828,1.0,0.08267494208936707
[N II] 6548,0.654805,2.2683361936951947,2.2735390106196625,2.47208559894879,5.202816924467779,0.45,2.5619569167029113
Hα,0.656281,2.273449264337438,2.2735390106196625,2.464276751299615,0.08974628222446768,1.0,2.5619569167029113
[N II] 6583,0.658345,2.280599249300575,2.2735390106196625,2.4534157783831616,-7.060238680912434,0.7,2.5619569167029113
[S II] 6716,0.671647,2.3266792396007916,2.327077669144528,2.4647332142398133,0.39842954373625616,0.35,0.33138416388828773
[S II] 6731,0.673085,2.331660672922977,2.327077669144528,2.4573310490421383,-4.583003778449335,0.35,0.33138416388828773
