radius_pix,dx_pix,dy_pix,offset_arcsec,line_flux,peak_channel_flux,mask_pixels,line_SNR
18,18,0,1.008000000000288,-0.0072907167,0.0019868822,2305,-1.1148049
18,18,4,1.0325889792170984,-0.0026766905,0.0020589354,2305,-0.4092859
18,17,7,1.0295474734079073,-0.0009102073,0.0023564894,2305,-0.13917747
18,15,10,1.0095543571302055,0.00024109863,0.0022907872,2305,0.036865775
18,13,13,1.0295474734079073,0.00096478796,0.0018398854,2305,0.14752325
18,10,15,1.0095543571302055,0.0004821557,0.0021343722,2305,0.073725194
18,7,17,1.0295474734079073,0.002278469,0.0028198,2305,0.34839487
18,4,18,1.0325889792170984,0.0035454044,0.0034426327,2305,0.5421187
18,0,18,1.008000000000288,0.0040485817,0.0034802326,2305,0.61905825
18,-4,18,1.0325889792170984,0.0032679033,0.0034747818,2305,0.49968675
18,-7,17,1.0295474734079073,0.0032879862,0.0034571746,2305,0.50275755
18,-10,15,1.0095543571302055,0.0038775445,0.004021109,2305,0.5929054
18,-13,13,1.0295474734079073,0.0036270106,0.004318599,2305,0.5545969
18,-15,10,1.0095543571302055,0.00210313,0.0036860225,2305,0.32158425
18,-17,7,1.0295474734079073,-0.00088252267,0.0029482099,2305,-0.13494429
18,-18,4,1.0325889792170984,-0.0049721673,0.0021458324,2305,-0.7602814
18,-18,0,1.008000000000288,-0.009078893,0.00097345904,2305,-1.3882303
18,-18,-4,1.0325889792170984,-0.009319248,0.0006130623,2305,-1.4249823
18,-17,-7,1.0295474734079073,-0.0067101726,0.00032435585,2305,-1.0260353
18,-15,-10,1.0095543571302055,-0.0043095886,0.00077363,2305,-0.65896815
18,-13,-13,1.0295474734079073,-0.0030922797,0.0011646269,2305,-0.47283256
18,-10,-15,1.0095543571302055,-0.0031666744,0.001259531,2305,-0.48420808
18,-7,-17,1.0295474734079073,-0.0038732141,0.0010046306,2305,-0.59224325
18,-4,-18,1.0325889792170984,-0.0037966678,0.0011616568,2305,-0.58053875
18,0,-18,1.008000000000288,-0.004250248,0.0014980743,2305,-0.64989454
18,4,-18,1.0325889792170984,-0.0046369685,0.0017967602,2305,-0.709027
18,7,-17,1.0295474734079073,-0.0054942556,0.0020621477,2305,-0.84011257
18,10,-15,1.0095543571302055,-0.007399448,0.0022469845,2305,-1.1314307
18,13,-13,1.0295474734079073,-0.010173356,0.002099713,2305,-1.5555819
18,15,-10,1.0095543571302055,-0.011432623,0.0015388019,2305,-1.7481331
18,17,-7,1.0295474734079073,-0.012021527,0.0014835013,2305,-1.8381809
18,18,-4,1.0325889792170984,-0.010356195,0.0018207271,2305,-1.5835394
24,24,0,1.344000000000384,-0.0048661795,0.0013652076,2305,-0.74407506
24,24,5,1.3728568752790937,1.436146e-05,0.0015644926,2305,0.002195974
24,22,9,1.3311048042889082,0.0036285268,0.0025434275,2305,0.55482876
24,20,13,1.3358083694905567,0.004308944,0.0019903483,2305,0.6588696
24,17,17,1.3463313113795712,0.0029453835,0.001551037,2305,0.45037106
24,13,20,1.3358083694905567,0.0023415582,0.0021585166,2305,0.35804167
24,9,22,1.3311048042889082,0.0029690964,0.0030583837,2305,0.45399693
24,5,24,1.3728568752790937,0.003947897,0.0032236227,2305,0.6036628
24,0,24,1.344000000000384,0.0043843295,0.003222607,2305,0.6703966
24,-5,24,1.3728568752790937,0.0037149177,0.0032241717,2305,0.5680386
24,-9,22,1.3311048042889082,0.0027496158,0.0034480693,2305,0.4204367
24,-13,20,1.3358083694905567,0.0034567262,0.0029887855,2305,0.52855915
24,-17,17,1.3463313113795712,0.0033918568,0.003256406,2305,0.51864016
24,-20,13,1.3358083694905567,0.0017638442,0.0030426143,2305,0.2697049
24,-22,9,1.3311048042889082,-0.0015549986,0.0025770543,2305,-0.23777086
24,-24,5,1.3728568752790937,-0.0072964514,0.0011943743,2305,-1.1156818
24,-24,0,1.344000000000384,-0.008496761,0.00066265673,2305,-1.299218
24,-24,-5,1.3728568752790937,-0.006013991,0.0009914635,2305,-0.919584
24,-22,-9,1.3311048042889082,-0.0034908054,0.0012455136,2305,-0.53377014
24,-20,-13,1.3358083694905567,-0.002802668,0.0014273938,2305,-0.42854878
24,-17,-17,1.3463313113795712,-0.0042022406,0.001282012,2305,-0.64255387
24,-13,-20,1.3358083694905567,-0.004241569,0.0009867077,2305,-0.64856744
24,-9,-22,1.3311048042889082,-0.005036505,0.00048791402,2305,-0.7701191
24,-5,-24,1.3728568752790937,-0.0048744795,0.0010003521,2305,-0.74534416
24,0,-24,1.344000000000384,-0.0036836923,0.0013927598,2305,-0.56326395
24,5,-24,1.3728568752790937,-0.00494463,0.0010940669,2305,-0.75607073
24,9,-22,1.3311048042889082,-0.0050947173,0.0017083564,2305,-0.7790202
24,13,-20,1.3358083694905567,-0.005431301,0.0019593074,2305,-0.83048636
24,17,-17,1.3463313113795712,-0.009198094,0.0013527854,2305,-1.406457
24,20,-13,1.3358083694905567,-0.0115166865,0.0006142324,2305,-1.760987
24,22,-9,1.3311048042889082,-0.011411056,0.0013151461,2305,-1.7448354
24,24,-5,1.3728568752790937,-0.008391872,0.002054848,2305,-1.2831796
30,30,0,1.68000000000048,-0.0034075035,0.0011134467,2305,-0.52103263
30,29,6,1.6583944042360887,0.0019136345,0.0021196753,2305,0.29260895
30,28,11,1.6846602031275097,0.0046944707,0.0023184433,2305,0.7178195
30,25,17,1.6930162432775528,0.0065368637,0.002040769,2305,0.99953514
30,21,21,1.6631151493512348,0.00745814,0.002089374,2305,1.1404052
30,17,25,1.6930162432775528,0.0072319587,0.0024769092,2305,1.1058203
30,11,28,1.6846602031275097,0.006292363,0.0027080483,2305,0.96214914
30,6,29,1.6583944042360887,0.006174222,0.0021703346,2305,0.9440845
30,0,30,1.68000000000048,0.005502884,0.0021081099,2305,0.8414319
30,-6,29,1.6583944042360887,0.0045912294,0.0026755761,2305,0.70203316
30,-11,28,1.6846602031275097,0.0026314044,0.0032604323,2305,0.40236133
30,-17,25,1.6930162432775528,0.00095200026,0.002661556,2305,0.14556792
30,-21,21,1.6631151493512348,0.0021479384,0.0025984244,2305,0.32843575
30,-25,17,1.6930162432775528,0.0017115932,0.0021149358,2305,0.26171535
30,-28,11,1.6846602031275097,-0.0039947946,0.0018747344,2305,-0.6108338
30,-29,6,1.6583944042360887,-0.007945953,0.0014797898,2305,-1.2149954
30,-30,0,1.68000000000048,-0.007864179,0.00084679056,2305,-1.2024915
30,-29,-6,1.6583944042360887,-0.0047483654,0.0014918419,2305,-0.7260604
30,-28,-11,1.6846602031275097,-0.0040220786,0.0016964027,2305,-0.61500573
30,-25,-17,1.6930162432775528,-0.0030824067,0.00201548,2305,-0.47132292
30,-21,-21,1.6631151493512348,-0.003302928,0.001886111,2305,-0.50504225
30,-17,-25,1.6930162432775528,-0.0017750883,0.0018650747,2305,-0.2714242
30,-11,-28,1.6846602031275097,-0.0012748656,0.001097163,2305,-0.19493644
30,-6,-29,1.6583944042360887,-0.0020305442,0.001094745,2305,-0.31048533
30,0,-30,1.68000000000048,-0.0024199204,0.0017738328,2305,-0.37002385
30,6,-29,1.6583944042360887,-0.0033250733,0.0012251923,2305,-0.50842845
30,11,-28,1.6846602031275097,-0.006817301,0.0007030929,2305,-1.042416
30,17,-25,1.6930162432775528,-0.007864933,0.0013016751,2305,-1.2026069
30,21,-21,1.6631151493512348,-0.010347169,0.00039673608,2305,-1.5821592
30,25,-17,1.6930162432775528,-0.012060765,-6.249081e-05,2305,-1.8441807
30,28,-11,1.6846602031275097,-0.010760636,0.0009620056,2305,-1.6453813
30,29,-6,1.6583944042360887,-0.0064588264,0.0016222948,2305,-0.9876026
36,36,0,2.016000000000576,-0.0035080404,0.0013485255,2305,-0.5364055
36,35,7,1.998815649328943,-2.4234643e-05,0.0017067945,2305,-0.0037056573
36,33,14,2.0074262128412848,0.0047226134,0.0021614756,2305,0.7221227
36,30,20,2.019108714260411,0.008649084,0.002390204,2305,1.3225093
36,25,25,1.979898987322899,0.008478009,0.002427574,2305,1.2963507
36,20,30,2.019108714260411,0.0069296546,0.0023251278,2305,1.0595958
36,14,33,2.0074262128412848,0.006335228,0.0026909923,2305,0.96870357
36,7,35,1.998815649328943,0.0049443063,0.0024964353,2305,0.75602126
36,0,36,2.016000000000576,0.002841049,0.002410815,2305,0.43441755
36,-7,35,1.998815649328943,0.001981394,0.0019618329,2305,0.30296987
36,-14,33,2.0074262128412848,0.0019189663,0.0018607506,2305,0.29342422
36,-20,30,2.019108714260411,0.0006796941,0.0026721163,2305,0.10393029
36,-25,25,1.979898987322899,-0.00037755235,0.0026555168,2305,-0.057730563
36,-30,20,2.019108714260411,0.0008207299,0.0021255284,2305,0.1254957
36,-33,14,2.0074262128412848,-0.005519812,0.0014715594,2305,-0.8440203
36,-35,7,1.998815649328943,-0.0077292603,0.0019310706,2305,-1.1818614
36,-36,0,2.016000000000576,-0.007041561,0.0016955212,2305,-1.0767071
36,-35,-7,1.998815649328943,-0.0031340953,0.0021795863,2305,-0.4792265
36,-33,-14,2.0074262128412848,-0.003225029,0.0031329263,2305,-0.49313092
36,-30,-20,2.019108714260411,-0.0014794432,0.002537044,2305,-0.22621787
36,-25,-25,1.979898987322899,-0.00040480576,0.0021874318,2305,-0.061897814
36,-20,-30,2.019108714260411,0.0014775754,0.0017619723,2305,0.22593227
36,-14,-33,2.0074262128412848,0.0014209842,0.0017237767,2305,0.21727905
36,-7,-35,1.998815649328943,-0.0023732428,0.0018883537,2305,-0.3628865
36,0,-36,2.016000000000576,-0.0017360024,0.0023722781,2305,-0.26544768
36,7,-35,1.998815649328943,-0.0031720048,0.0013913221,2305,-0.48502314
36,14,-33,2.0074262128412848,-0.0063189436,0.0010510152,2305,-0.9662135
36,20,-30,2.019108714260411,-0.009431595,0.0005368498,2305,-1.4421611
36,25,-25,1.979898987322899,-0.011755686,0.00057879474,2305,-1.797532
36,30,-20,2.019108714260411,-0.011944146,0.0007526897,2305,-1.8263488
36,33,-14,2.0074262128412848,-0.011046745,0.00045094482,2305,-1.6891295
36,35,-7,1.998815649328943,-0.006435327,0.0014625661,2305,-0.98400944
42,42,0,2.352000000000672,-0.003662659,0.0011614246,2305,-0.5600478
42,41,8,2.339299040311676,-0.0030548305,0.0013329929,2305,-0.4671063
42,39,16,2.3606507577367695,0.0022549378,0.0017025888,2305,0.34479678
42,35,23,2.345323858234326,0.0058709416,0.0018588133,2305,0.8977107
42,30,30,2.3758787847874787,0.002498049,0.0026551452,2305,0.3819703
42,23,35,2.345323858234326,0.003416603,0.0032689124,2305,0.52242404
42,16,39,2.3606507577367695,0.0036146606,0.002811048,2305,0.5527085
42,8,41,2.339299040311676,0.00073706405,0.002923759,2305,0.11270258
42,0,42,2.352000000000672,0.0004904418,0.0017550605,2305,0.0749922
42,-8,41,2.339299040311676,-0.0027836722,0.0008686162,2305,-0.4256442
42,-16,39,2.3606507577367695,-0.0032801775,0.0016239306,2305,-0.50156355
42,-23,35,2.345323858234326,-0.002437281,0.0022894396,2305,-0.3726784
42,-30,30,2.3758787847874787,-0.0025523284,0.002498794,2305,-0.39027
42,-35,23,2.345323858234326,-0.0033771833,0.0017947312,2305,-0.51639646
42,-39,16,2.3606507577367695,-0.006653549,0.0012405366,2305,-1.0173771
42,-41,8,2.339299040311676,-0.0076975143,0.0021270253,2305,-1.1770072
42,-42,0,2.352000000000672,-0.0037805485,0.002295242,2305,-0.578074
42,-41,-8,2.339299040311676,-0.00088873215,0.0033092112,2305,-0.13589376
42,-39,-16,2.3606507577367695,-0.0016194612,0.0037795398,2305,-0.24762768
42,-35,-23,2.345323858234326,0.0030441214,0.0038667226,2305,0.46546882
42,-30,-30,2.3758787847874787,0.0048535317,0.0031149744,2305,0.7421411
42,-23,-35,2.345323858234326,0.007852204,0.0023456498,2305,1.2006605
42,-16,-39,2.3606507577367695,0.0061499793,0.0018638041,2305,0.9403776
42,-8,-41,2.339299040311676,0.002061313,0.0016134104,2305,0.3151901
42,0,-42,2.352000000000672,0.0017196599,0.0021158932,2305,0.26294878
42,8,-41,2.339299040311676,-0.00086442905,0.0013717734,2305,-0.13217764
42,16,-39,2.3606507577367695,-0.006034126,0.0016477811,2305,-0.9226628
42,23,-35,2.345323858234326,-0.01147398,7.411983e-05,2305,-1.7544569
42,30,-30,2.3758787847874787,-0.014546414,-4.570413e-05,2305,-2.2242548
42,35,-23,2.345323858234326,-0.01224402,0.0006112718,2305,-1.8722017
42,39,-16,2.3606507577367695,-0.012086881,0.0001579165,2305,-1.8481741
42,41,-8,2.339299040311676,-0.007784956,0.00064299913,2305,-1.1903777
