redshift_z,E_z,comoving_distance_Gly
0.0,1.0,0.0
0.001,1.0004729530453924,0.014503873976749687
0.001003691670615117,1.000474700369985,0.014557404796576119
0.0010073969696621644,1.0004764541550193,0.01461113314054724
0.001011115947452823,1.0004782144244182,0.014665059737161524
0.0010148486544845105,1.0004799812021936,0.01471918531760172
0.001018595141441062,1.0004817545124465,0.014773510615744636
0.0010223554591934207,1.0004835343793679,0.014828036368171088
0.0010261296588003294,1.0004853208272375,0.014882763314175864
0.0010299177915090215,1.0004871138804265,0.014937692195777652
0.0010337199087559214,1.000488913563396,0.014992823757729135
0.001037536062167337,1.0004907199006978,0.01504815874752696
0.0010413663035601642,1.0004925329169754,0.01510369791542187
0.00104521068494259,1.0004943526369634,0.015159442014428837
0.0010490692585147978,1.0004961790854883,0.015215391800337192
0.0010529420766696794,1.0004980122874694,0.015271548031720898
0.0010568291919935409,1.000499852267918,0.015327911469948694
0.0010607306572668212,1.0005016990519386,0.01538448287919444
0.0010646465254648058,1.0005035526647288,0.015441263026447383
0.0010685768497583504,1.0005054131315798,0.015498252681522585
0.0010725216835145975,1.0005072804778772,0.015555452617071218
0.001076481080297704,1.0005091547291003,0.015612863608591045
0.0010804550938695683,1.0005110359108236,0.015670486434436883
0.001084443778190559,1.000512924048716,0.015728321875831085
0.0010884471874202514,1.0005148191685427,0.015786370716874134
0.0010924653759181572,1.000516721296164,0.01584463374455515
0.001096498398244467,1.0005186304575364,0.015903111748762567
0.0011005463091607888,1.0005205466787128,0.015961805522294762
0.001104609163630892,1.000522469985843,0.01602071586087076
0.001108687016821457,1.0005244004051743,0.01607984356314101
0.0011127799241028183,1.000526337963051,0.016139189430698087
0.0011168879410497208,1.0005282826859154,0.016198754268087555
0.0011210111234420724,1.0005302346003087,0.016258538882818818
0.0011251495272657016,1.00053219373287,0.016318544085375992
0.001129303208713121,1.0005341601103375,0.01637877068922891
0.0011334722241842844,1.000536133759549,0.016439219510843997
0.0011376566302873567,1.0005381147074426,0.016499891369695346
0.0011418564838394814,1.0005401029810554,0.016560787088275762
0.0011460718418675512,1.000542098607526,0.016621907492107842
0.0011503027616089866,1.0005441016140928,0.016683253409755173
0.001154549300512506,1.000546112028097,0.016744825672833412
0.001158811516238912,1.0005481298769796,0.016806625116021576
0.001163089466661869,1.0005501551882854,0.016868652577073266
0.0011673832098686966,1.0005521879896602,0.01693090889682801
0.0011716928041611498,1.0005542283088533,0.016993394919222554
0.0011760183080562153,1.000556276173717,0.01705611149130226
0.001180359780286906,1.0005583316122073,0.017119059463232555
0.0011847172798030558,1.0005603946523838,0.017182239688310348
0.001189090865772126,1.0005624653224108,0.017245653022975635
0.0011934805975800007,1.0005645436505572,0.017309300326822923
0.0011978865348317989,1.000566629665197,0.017373182462612914
0.0012023087373526818,1.0005687233948093,0.017437300296284108
0.0012067472651886638,1.0005708248679799,0.017501654696964457
0.0012112021786074333,1.0005729341134002,0.017566246536983177
0.001215673538099164,1.0005750511598688,0.01763107669188239
0.0012201614043773398,1.0005771760362911,0.017696146040429014
0.0012246658383795793,1.0005793087716799,0.017761455464626572
0.0012291869012684615,1.0005814493951564,0.0178270058497271
0.0012337246544323608,1.0005835979359496,0.017892798084243124
0.0012382791594862741,1.0005857544233974,0.01795883305995955
0.0012428504782726613,1.0005879188869466,0.018025111671945752
0.0012474386728622844,1.000590091356154,0.018091634818567633
0.001252043805555049,1.0005922718606863,0.0181584034014997
0.0012566659388808558,1.0005944604303199,0.018225418325737323
