method,centroid_GHz,offset_MHz,line_flux_sum,line_noise_sigma,integrated_SNR,mask_pixels,line_channels
Model A fixed point template,279.89765961306466,-3.3403869353492155,0.00645184849834746,0.002953316123925037,2.1846115443181136,23,8
Fixed beam pixel mask,279.89639494747223,-4.605052527779208,0.017065292224287987,0.00838427586699469,2.0353925007962523,23,8
Target-seeded mask,279.89639494747223,-4.605052527779208,0.017065292224287987,0.00838427586699469,2.0353925007962523,23,8
Free optimized mask,279.9005289305722,-0.47106942781738326,0.039307113736867905,0.008992724235710656,4.370990670521949,21,8
