redshift_z,comoving_distance_Gly,luminosity_distance_Gly,universe_age_Myr,shell_volume_Gpc3_per_z_all_sky,shell_volume_norm,cumulative_R3_volume_fraction_to_46p5Gly,Lmin_over_Lstar_toy,schechter_visible_fraction,toy_detection_fraction,raw_detected_proxy_norm,volume_corrected_proxy_norm,cumulative_detected_proxy
0.001,0.014448181702573525,0.014462629884276096,13772.444339023798,0.00109212007147858,2.0631649753520486e-06,2.9997200478621545e-11,0.0001,1.0,0.995471019972517,7.334616588361369e-06,1.0,2.3281744047152995e-08
0.01216759776536313,0.17534017314807177,0.1774736418470466,13612.602284330273,0.1600026690582926,0.00030226704131258047,5.36148918867893e-08,0.0001,1.0,0.9954510426869694,0.0010745473049475055,0.9999799318260935,3.434139696737359e-06
0.023335195530726258,0.3353849714258333,0.34321124531212216,13455.346610957644,0.5822983149712797,0.001100041579703558,3.752078667145065e-07,0.0001,1.0,0.9954309771417195,0.003910525219252622,0.9999597749909399,1.5847037650946108e-05
0.034502793296089386,0.49457746063121366,0.5116417645242771,13300.626146076207,1.2594910720793717,0.002379351808052296,1.2032173965463983e-06,0.0001,1.0,0.9954108229477712,0.00845815925214977,0.9999395291037728,4.269516208202889e-05
0.045670391061452514,0.6529128512667648,0.6827316365131659,13148.391051435816,2.1831304539486895,0.004124233595591138,2.7682594555917866e-06,0.0001,1.0,0.9953905797144321,0.014660595804966228,0.9999191937721228,8.92312331905862e-05
0.05683798882681564,0.8103866784399588,0.8564474274145294,12998.592768367724,3.3448132723538198,0.006318812164371454,5.293196553921326e-06,0.0001,1.0,0.9953702470493045,0.022461302608493022,0.9998987686018069,0.00016052852487538773
0.06800558659217877,0.9669947996352997,1.0327558482160846,12851.183966077702,4.736193043237407,0.00894731985841458,8.993185609543743e-06,0.0001,1.0,0.9953498245582811,0.031804131897011784,0.9998782531969245,0.0002614820852350504
0.07917318435754189,1.1227333920799878,1.211623769915505,12706.118493007323,6.348988984293179,0.011994113141383262,1.4075734287239792e-05,0.0001,1.0,0.9953293118455349,0.04263338083224299,0.9998576471598479,0.00039681014886909407
0.09034078212290503,1.2775989497228055,1.3930182380801657,12563.351331055585,8.174994591225978,0.015443688798316056,2.0740765422302012e-05,0.0001,1.0,0.9953087085135136,0.0548938490905578,0.9998369500912162,0.0005710557319739274
0.10150837988826816,1.4315882798462625,1.5769064868004892,12422.838552467822,10.206085782161374,0.01928069932153688,2.9180689136535406e-05,0.0001,1.0,0.9952880141629321,0.06853089354305825,0.9998161615899275,0.0007885884010058648
