quantity,radius_Gly,meaning
Hubble radius,14.507302991551835,where recession speed equals c today
Cosmic event horizon,16.678604238509052,light emitted today beyond this limit never reaches us
Particle horizon / observable radius,46.1342633193234,present-day comoving radius of light/signals that could have reached us
