redshift_z,comoving_distance_Gly,E_z
0.0,0.0,1.0
0.001,0.014503873976749687,1.0004729530453924
0.0010115867377375632,0.014671886369112791,1.0004784372599462
0.0010233077279665254,0.014841844539953268,1.0004839851172822
0.0010351645262352952,0.015013771012649023,1.0004895973571113
0.0010471587061160123,0.015187688571040994,1.0004952747277691
0.0010592918594133846,0.015363620262439212,1.000501017986316
0.0010715655963759432,0.015541589400663356,1.000506827898641
0.0010839815459097468,0.015721619569118307,1.0005127052395646
0.0010965413557945613,0.015903734623905024,1.0005186507929433
0.0011092466929025447,0.016087958696967178,1.0005246653517765
0.0011220992434194659,0.016274316199273924,1.0005307497183131
0.0011351007130684853,0.016462831824039258,1.0005369047041606
0.0011482528273365307,0.01665353054997834,1.0005431311303945
0.0011615573317032945,0.01684643764460126,1.00054942982767
0.0011750159918728843,0.01704157866754457,1.0005558016363347
0.001188630594008158,0.017238979473941134,1.0005622474065412
0.0012024029449677746,0.017438666217828656,1.0005687679983641
0.0012163348725459898,0.017640665355597322,1.0005753642819153
0.0012304282257152325,0.017845003649477064,1.0005820371374623
0.00124468487487149,0.018051708171064815,1.0005887874555484
0.0012591067120825378,0.018260806304892296,1.0005956161371117
0.0012736956513390435,0.018472325752034693,1.0006025240936098
0.0012884536288085837,0.0186862945337608,1.000609512247141
0.0013033826030926002,0.018902740995225008,1.0006165815305716
0.0013184845554863366,0.019121693809201683,1.0006237328876615
0.0013337614902417844,0.019343181979862355,1.0006309672731921
0.0013492154348336775,0.019567234846596226,1.000638285653097
0.0013648484402285675,0.019793882087874543,1.000645689004593
0.001380662581157018,0.02002315372515925,1.0006531783163122
0.0013966599563889515,0.020255080126856447,1.0006607545884374
0.0014128426890121868,0.0204896920123152,1.0006684188328376
0.0014292129267142058,0.020727020455872203,1.000676172073206
0.001445772842067177,0.02096709689094268,1.000684015345199
0.0014625246328163022,0.02120995311415847,1.0006919496965776
0.0014794705221714691,0.02145562128955305,1.0006999761873496
0.001496612759102327,0.02170413395279509,1.0007080958899144
0.0015139536186367366,0.0219555240154699,1.000716309889209
