z,score
2.2,0.11260374071907396
2.20025,0.11364931776955499
2.2005000000000003,0.11894552825584982
2.20075,0.14335281459727262
2.201,0.16776010093851906
2.2012500000000004,0.19943764235687148
2.2015000000000002,0.22959097100583808
2.20175,0.2611462787075272
2.202,0.2915228474139421
2.2022500000000003,0.3017886786747922
2.2025,0.30119901082335493
2.20275,0.29531606466865395
2.2030000000000003,0.28687156064871355
2.20325,0.27675736212930035
2.2035,0.25915302315335437
2.2037500000000003,0.23547404277345732
2.204,0.19530079885198012
2.20425,0.15477250164530856
2.2045000000000003,0.1144058705466643
2.20475,0.07718596548550334
2.205,0.05282775232921799
2.2052500000000004,0.04777787975553304
2.2055000000000002,0.06267603230648812
2.20575,0.08617407901142086
2.206,0.11568633443547924
2.2062500000000003,0.16004168414616762
2.2065,0.2106675489866704
2.20675,0.24986007349538283
2.2070000000000003,0.2762746191462008
2.20725,0.2752049118614193
2.2075,0.2768646144367115
2.2077500000000003,0.2823175782997502
2.208,0.2993540444834886
2.20825,0.321525858724193
2.2085000000000004,0.3472510139017454
2.20875,0.37671766139727736
2.209,0.405527736622263
2.2092500000000004,0.431353549909454
2.2095000000000002,0.4446370957905973
2.20975,0.448229537669691
2.21,0.44915955805827074
2.2102500000000003,0.45076391268528027
2.2105,0.4549240220642929
2.21075,0.4492582164140635
2.2110000000000003,0.440989925155817
2.21125,0.42537304729832986
2.2115,0.4145084969832339
2.2117500000000003,0.41246217586563855
2.212,0.4080861997715484
2.21225,0.40435912520704703
2.2125000000000004,0.40100384097392366
2.21275,0.4112576490009982
2.213,0.42675877784238864
2.2132500000000004,0.418031395012651
2.2135000000000002,0.40344408395785936
2.21375,0.3885664492939466
2.214,0.38120268262930057
2.2142500000000003,0.3697741049684026
2.2145,0.35034202628978883
2.21475,0.3368784079328712
2.2150000000000003,0.3307726739282474
2.21525,0.35331670775649104
2.2155,0.3826379444092595
2.2157500000000003,0.41195918106202023
2.216,0.43870100150273367
2.21625,0.4653896777638882
2.2165000000000004,0.49255680960005443
2.21675,0.510666311943685
2.217,0.5067538396839526
2.2172500000000004,0.5013968098404331
2.2175000000000002,0.49054422789092633
2.21775,0.47665992153413145
2.218,0.465853811869616
2.2182500000000003,0.4576756582451685
2.2185,0.45444522207497023
2.21875,0.4507096706460563
2.2190000000000003,0.44738567000004376
2.21925,0.4441416098345643
2.2195,0.43911191832122287
2.2197500000000003,0.41726671909426893
2.22,0.392127368375079
2.22025,0.35952202407555306
2.2205000000000004,0.326916679775946
2.2207500000000002,0.30558252504825434
2.221,0.28234251324959514
2.2212500000000004,0.2778586969779219
2.2215000000000003,0.28427351181381194
2.22175,0.30632169213963784
2.222,0.3288737294666726
2.2222500000000003,0.352781198867623
2.2225,0.3904558637286637
2.22275,0.42797760839564153
2.2230000000000003,0.4555862783511313
2.22325,0.4697223668623813
2.2235,0.46749912921321163
2.2237500000000003,0.4628176802197956
2.224,0.4479151559247942
2.22425,0.42633500894642634
2.2245000000000004,0.41210280616423844
2.2247500000000002,0.397088246505533
2.225,0.39114871379444444
2.22525,0.38520918108330865
2.2255000000000003,0.37694866928994514
2.22575,0.37132399956943424
2.226,0.35944815935217345
2.2262500000000003,0.32978183553178836
2.2265,0.3131243244618359
2.22675,0.2972325739148637
2.2270000000000003,0.2774921926307591
2.22725,0.25469739763396154
2.2275,0.23063845420768714
2.2277500000000003,0.2059834263122524
2.228,0.19282099946427594
2.22825,0.1931751397301892
2.2285000000000004,0.19248530172958234
2.2287500000000002,0.1894752311941423
2.229,0.194438612347733
2.22925,0.20256813720033498
2.2295000000000003,0.21679054363757422
2.22975,0.21935391659205725
2.23,0.21104469971994616
2.2302500000000003,0.21103591195548035
2.2305,0.2039298438522245
2.23075,0.18686331103656917
2.2310000000000003,0.16561197783247678
2.23125,0.14450160276417348
2.2315,0.160925432407518
2.2317500000000003,0.16846255571509297
2.232,0.17142970105340494
2.23225,0.18233913353646575
2.2325000000000004,0.20203274658977527
2.2327500000000002,0.21983322086886237
2.233,0.22217350774190467
2.23325,0.22267004476101207
2.2335000000000003,0.23183751134315758
2.23375,0.2411414909090461
2.234,0.25062749529671585
2.2342500000000003,0.25422678700462714
2.2345,0.2468020496378456
2.23475,0.2516868814030992
2.2350000000000003,0.273350007401383
2.23525,0.29501313339963675
2.2355,0.32015656351581745
2.2357500000000003,0.33732197375313205
2.236,0.35709440711069995
2.23625,0.3529552914902634
2.2365000000000004,0.3418326683932163
2.2367500000000002,0.332453740120482
2.237,0.31759882567474196
2.23725,0.2963810561380441
2.2375000000000003,0.28725401062308487
2.23775,0.2813218487956928
2.238,0.27302247082533987
2.2382500000000003,0.2619885606167892
2.2385,0.2509546504082539
2.23875,0.2584487771714339
2.2390000000000003,0.26327881727151387
2.23925,0.2673443579562993
2.2395,0.2777090776238237
2.2397500000000004,0.27497597123015194
2.24,0.27224286483648064
2.24025,0.2657362235599302
2.2405,0.255163950455325
2.2407500000000002,0.24527359436263843
2.241,0.2336922431580585
2.24125,0.20131861478224722
2.2415000000000003,0.16245792020252953
2.24175,0.12359722562276178
2.242,0.09121843780316631
2.2422500000000003,0.051785523245081115
2.2425,0.011247194339055782
2.24275,-0.004584269036570401
2.2430000000000003,-0.008211536114485607
2.24325,-0.011838803192453092
2.2435,-0.023428459223453917
2.2437500000000004,-0.052043077308031316
2.244,-0.08095129913172633
2.24425,-0.10724134932709753
2.2445000000000004,-0.11506008502122542
2.2447500000000002,-0.12287882071539874
2.245,-0.1307079122315972
2.24525,-0.13639048912733306
2.2455000000000003,-0.12190906716655109
2.24575,-0.10500648233850003
2.246,-0.10566970809790414
2.2462500000000003,-0.10907222341205111
2.2465,-0.11247473872617855
2.24675,-0.11364268591369574
2.2470000000000003,-0.11163148673992968
2.24725,-0.11214923430883983
2.2475,-0.10871272773160247
2.2477500000000004,-0.09985501510016413
2.248,-0.09099730246873348
2.24825,-0.08226880415558362
2.2485,-0.07572654420832596
2.2487500000000002,-0.06049251117819498
2.249,-0.04534746018023142
2.24925,-0.047796033556325696
2.2495000000000003,-0.051348017964728467
2.24975,-0.05490000237306293
2.25,-0.0526570878896848
2.2502500000000003,-0.05109225373206166
2.2505,-0.05449541100958007
2.25075,-0.08323861532127047
2.2510000000000003,-0.12598198110636497
2.25125,-0.1687253468915103
2.2515,-0.21131743182423202
2.2517500000000004,-0.24493218419871288
2.2520000000000002,-0.2928525163745624
2.25225,-0.33588154556006816
2.2525,-0.37208708026537557
2.2527500000000003,-0.408256744571005
2.253,-0.44442640887662416
2.25325,-0.49187175555979484
2.2535000000000003,-0.5355146589685843
2.25375,-0.5704589814239127
2.254,-0.5921138447017281
2.2542500000000003,-0.6021988756142584
2.2545,-0.6122839065267371
2.25475,-0.6183088166349902
2.2550000000000003,-0.6180805468101377
2.25525,-0.6195292025553463
2.2555,-0.6202349712010137
2.2557500000000004,-0.6006903213417083
