n,line,species,rest_um,observed_peak_um,z_line,slope_m_equals_1_plus_z,peak_residual_flux,predicted_from_seed_um,offset_nm_vs_seed
1,[N II] 6548,ionized nitrogen,0.654805,2.2735464523444637,2.472096963744113,3.472096963744113,2.251892161788419,2.2683672642648465,5.1791880796172585
2,H-alpha 6563,hydrogen Balmer-alpha,0.656281,2.2735464523444637,2.4642880905350966,3.4642880905350966,2.251892161788419,2.273480404943453,0.0660474010105716
3,[N II] 6583,ionized nitrogen,0.658345,2.2735464523444637,2.4534270820686173,3.4534270820686173,2.251892161788419,2.2806304878436183,-7.084035499154595
