channel_index,frequency_GHz,velocity_km_s,template_amplitude,noise_sigma,channel_SNR,line_window
0,279.8348145455,70.88899320973572,0.0029598888010632074,0.0010959005891914503,2.7008734462374893,False
1,279.839697743,65.65876616012257,0.00047397699889339766,0.0008348598372874017,0.5677324237244753,False
2,279.84458094049995,60.42853911050943,-0.00012206744850822823,0.0008764504161584504,-0.13927479097249934,False
3,279.849464138,55.198312060835406,-0.0013966837220687643,0.0008896290558014534,-1.5699618992440765,False
4,279.8543473355,49.96808501116138,0.0005478396736755215,0.0008844404255806584,0.6194195310733907,False
5,279.85923053299996,44.737857961548244,0.0008968052564892928,0.000847632323167127,1.0580121026277456,False
6,279.8641137305,39.507630911874216,0.0004971892943576675,0.0007868458946435744,0.631876327680256,False
7,279.868996928,34.27740386220019,0.00020842295316207698,0.0008686939456793726,0.23992679377899576,False
8,279.8738801255,29.04717681252616,-0.0015657520753772378,0.001002294664427134,-1.5621674253570437,False
9,279.87876332300004,23.816949762852133,0.0014834241909342752,0.0011330647332829635,1.309213981655023,True
10,279.88364652050006,18.586722713178105,0.0004035859047780957,0.001052904717364205,0.38330714842689156,True
11,279.888529718,13.356495663625848,0.0011809533086217373,0.0009314514247844095,1.2678635484347203,True
12,279.89341291549994,8.126268614012705,-0.002524273110906405,0.0008371929141549944,-3.0151630146729502,True
13,279.89829611299996,2.896041564338679,0.0011159512030599352,0.0010919046274826083,1.0220225970035188,True
14,279.9031793105,-2.334185485335347,-0.001671750362607107,0.000895519059073329,-1.8667948444749032,True
15,279.908062508,-7.564412535009373,0.0012676354920550103,0.000888525422394952,1.4266732949949774,True
16,279.91294570549996,-12.794639584622516,0.0010336605557876896,0.0009298484231113604,1.111644145536069,True
17,279.917828903,-18.024866634296544,-0.00038243623954741207,0.000977721116403531,-0.3911506391047103,False
18,279.9227121005,-23.255093683970568,0.000984988605363585,0.0010262546166588248,0.9597896948521514,False
19,279.92759529799997,-28.485320733583713,-0.0010183575809203712,0.0009434756939665179,-1.0793681145499767,False
20,279.9324784955,-33.71554778325773,-0.0005451808886389354,0.0011051032032969197,-0.4933302944127435,False
21,279.937361693,-38.94577483293176,-0.0030806059856358123,0.0007734681622045689,-3.9828478225339614,False
22,279.9422448905,-44.1760018825449,-0.0005613809558050302,0.0008210999799854404,-0.6836937881973697,False
23,279.94712808799994,-49.40622893215805,-0.0015219297946116673,0.0010775702593836707,-1.4123717515015246,False
24,279.95201128549996,-54.63645598183208,-0.003537428808126174,0.0009324826264551962,-3.7935600168483568,False
25,279.956894483,-59.8666830315061,0.0006252487303618608,0.0009425162738125851,0.6633824239794385,False
26,279.9617776805,-65.09691008118013,0.0009146469914220713,0.0009165255808663539,0.9979503142263559,False
27,279.96666087799997,-70.32713713079328,-4.3821005308345546e-05,0.0013229522646062758,-0.03312364813207159,False
