region,rest_wavelength_A,observed_wavelength_um,flux_native_display_units,flux_error_native_display_units,dq,smoothed,interpolated,rebinned
LYMAN_ALPHA_BREAK,1174.2374439931284,1.8130226135253904,21.481562393322537,20.984547778146016,0,False,False,False
LYMAN_ALPHA_BREAK,1187.0150739047194,1.8327512741088867,33.44811444370494,21.351713003660706,0,False,False,False
LYMAN_ALPHA_BREAK,1199.7325587149112,1.8523870706558228,25.198615139450883,21.222907278992704,0,False,False,False
LYMAN_ALPHA_BREAK,1212.3883542619224,1.871927618980408,14.713947484371303,20.755884544700844,0,False,False,False
LYMAN_ALPHA_BREAK,1224.9809163839705,1.8913705348968504,20.39377375067588,20.251404373013987,0,False,False,False
LYMAN_ALPHA_BREAK,1237.5091641678093,1.9107141494750977,26.679385067145184,19.609983487664184,0,False,False,False
LYMAN_ALPHA_BREAK,1249.9720939082804,1.9299569129943848,43.63593335390314,19.28619691308552,0,False,False,False
LYMAN_ALPHA_BREAK,1262.3682386516907,1.9490965604782104,26.68113541090004,20.06946938222683,0,False,False,False
N_IV,1440.1655740688502,2.2236156463623047,-11.68955230312406,22.624997639337643,0,False,False,False
N_IV,1451.4802651084149,2.2410855293273926,-16.245360726677927,22.382498040652923,0,False,False,False
N_IV,1462.7296381046117,2.2584545612335205,46.436570330156,20.9533471614002,0,False,False,False
N_IV,1473.9144651383317,2.275723934173584,6.55444173371554,21.559236597381425,0,False,False,False
N_IV,1485.0347462095745,2.292893648147583,-2.640146520742673,22.46616411144908,0,False,False,False
N_IV,1496.0923343124784,2.309966564178467,1.8620867263687615,21.705158807746805,0,False,False,False
N_IV,1507.085685285262,2.3269402980804443,9.867915690532111,21.832033129767492,0,False,False,False
N_IV,1518.0174242029536,2.3438189029693604,-23.63443960923803,20.54780910344664,0,False,False,False
N_IV,1528.8872422331974,2.3606019020080566,15.523058029200069,20.25361944102533,0,False,False,False
C_IV,1507.085685285262,2.3269402980804443,9.867915690532111,21.832033129767492,0,False,False,False
C_IV,1518.0174242029536,2.3438189029693604,-23.63443960923803,20.54780910344664,0,False,False,False
C_IV,1528.8872422331974,2.3606019020080566,15.523058029200069,20.25361944102533,0,False,False,False
C_IV,1539.6956026245275,2.3772900104522705,13.914601535200616,20.808257155937216,0,False,False,False
C_IV,1550.443895122548,2.393885374069214,11.047117862084823,20.202014610647755,0,False,False,False
