observed_wavelength_um,flux_native_display_units,flux_error_native_display_units,dq,source_id,grating,filter,separation_arcsec,smoothed,interpolated,rebinned
0.5995627045631409,19.208062941233898,15.378004606881378,0,277193,PRISM,CLEAR,0.0,False,False,False
0.603960394859314,13.857082722848189,11.661852370636282,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6084482669830322,-1.0292537828524806,11.583717699562868,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6130300760269165,17.5784344241622,11.734445797802964,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6177093982696533,14.949382166540834,10.645786275432252,0,277193,PRISM,CLEAR,0.0,False,False,False
0.622489869594574,-19.22743798795625,10.793114473604344,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6273751258850098,-34.76551336771228,10.267497242756871,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6323687434196472,-21.03599231984303,9.742799618637365,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6374742984771729,-10.232994625927349,9.98506028248368,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6426953673362732,-0.6726496155917082,9.765900712584818,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6480354070663452,-8.772703420439838,9.55899124498186,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6534979939460754,-16.072620677995456,8.991296490883327,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6590865850448608,-14.144077695381942,8.833169306322215,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6648045182228088,-20.796220069510756,8.929084027488141,0,277193,PRISM,CLEAR,0.0,False,False,False
0.670669674873352,-1.734070418814368,9.092311629198592,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6766761541366577,6.84448844016873,8.021632838222233,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6828243136405945,-4.341152139953733,7.865499335570108,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6891174912452698,-10.812541468885643,7.56732349975005,0,277193,PRISM,CLEAR,0.0,False,False,False
0.6955704689025879,0.20680317426342806,7.198088364450288,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7021929025650024,17.577680708825802,7.052701739446212,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7089717984199524,7.393126892478221,7.193303181911945,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7159276604652405,-3.1986399854525285,6.831659257663069,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7230658531188965,0.12309767683218728,6.572274996139987,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7303786873817444,-4.014175413629653,6.5265504797715925,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7378966808319092,-3.216436477681904,6.271833756055018,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7456000447273254,-4.176552625268813,6.178995095313619,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7535170912742615,4.100341701074223,6.085187071120134,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7616426348686218,-6.41264523202775,6.046740445718022,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7699772119522095,-1.6083918183338206,5.931695749508901,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7785537242889404,-11.172871882826211,5.841504698196961,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7880135774612427,-8.564843246747067,5.8380319029676295,0,277193,PRISM,CLEAR,0.0,False,False,False
0.7970741391181946,-7.3541428621365705,5.835618236899133,0,277193,PRISM,CLEAR,0.0,False,False,False
0.8063815832138062,-11.08669066879588,5.847020895354697,0,277193,PRISM,CLEAR,0.0,False,False,False
0.8159452676773071,3.6490425969366127,5.95992886999975,0,277193,PRISM,CLEAR,0.0,False,False,False
0.8257737755775452,5.370788334723921,5.95873110493464,0,277193,PRISM,CLEAR,0.0,False,False,False
0.8358751535415649,4.492583566341434,6.036666409688167,0,277193,PRISM,CLEAR,0.0,False,False,False
0.8462567329406738,3.5197249698850825,10.509969194288196,0,277193,PRISM,CLEAR,0.0,False,False,False
0.856925368309021,-0.9491145697152366,11.612135532439607,0,277193,PRISM,CLEAR,0.0,False,False,False
0.8678869605064392,3.939262609502603,8.701187332605404,0,277193,PRISM,CLEAR,0.0,False,False,False
0.8791471719741821,1.2775135296743156,6.049444697210503,0,277193,PRISM,CLEAR,0.0,False,False,False
0.8907191753387451,0.05331273240884879,5.941184551380112,0,277193,PRISM,CLEAR,0.0,False,False,False
0.9026091694831848,6.507450532945784,6.682133049152434,0,277193,PRISM,CLEAR,0.0,False,False,False
0.9148160815238953,1.2780540427524905,7.707775474749969,0,277193,PRISM,CLEAR,0.0,False,False,False
0.9273539781570435,5.6795306585455805,7.624849769610456,0,277193,PRISM,CLEAR,0.0,False,False,False
0.9402211308479309,7.567003592870016,6.830279283218829,0,277193,PRISM,CLEAR,0.0,False,False,False
0.9534275531768799,6.238849807594303,5.659464102710285,0,277193,PRISM,CLEAR,0.0,False,False,False
0.966975212097168,9.445126790482758,5.601419551828949,0,277193,PRISM,CLEAR,0.0,False,False,False
0.9808644652366638,-0.9357812516909638,5.54812200379346,0,277193,PRISM,CLEAR,0.0,False,False,False
0.9951022863388062,1.372062650949198,5.524593020152414,0,277193,PRISM,CLEAR,0.0,False,False,False
1.0096863508224487,-12.875723461549137,5.346775777108657,0,277193,PRISM,CLEAR,0.0,False,False,False
1.0246175527572632,-5.953610934265578,5.2305271302152665,0,277193,PRISM,CLEAR,0.0,False,False,False
1.039894700050354,3.6784919634844773,5.145666524695461,0,277193,PRISM,CLEAR,0.0,False,False,False
1.0555150508880615,1.561203341207115,5.205354129805623,0,277193,PRISM,CLEAR,0.0,False,False,False
1.0714753866195679,1.6153207556286333,5.264040405517514,0,277193,PRISM,CLEAR,0.0,False,False,False
1.087770938873291,-10.722286841833157,5.425364679971668,0,277193,PRISM,CLEAR,0.0,False,False,False
1.104394555091858,-5.351335388732657,5.054745965143884,0,277193,PRISM,CLEAR,0.0,False,False,False
1.1213388442993164,9.546268217392601,4.973461326938631,0,277193,PRISM,CLEAR,0.0,False,False,False
1.138595461845398,6.532339132342904,4.908806981157116,0,277193,PRISM,CLEAR,0.0,False,False,False
1.1574538946151733,2.605649711473488,5.362609056744415,0,277193,PRISM,CLEAR,0.0,False,False,False
1.17532217502594,-9.455448256019775,4.94910972180588,0,277193,PRISM,CLEAR,0.0,False,False,False
1.1934711933135986,-6.5663497957182875,4.759952984365749,0,277193,PRISM,CLEAR,0.0,False,False,False
1.2118829488754272,-4.912711368878086,4.895302406586039,0,277193,PRISM,CLEAR,0.0,False,False,False
1.2305428981781006,-2.2653811869793534,5.053280466274487,0,277193,PRISM,CLEAR,0.0,False,False,False
1.2494381666183472,2.939543897842696,4.948361861674414,0,277193,PRISM,CLEAR,0.0,False,False,False
1.268553376197815,8.179125645719203,4.861031589099383,0,277193,PRISM,CLEAR,0.0,False,False,False
1.2878706455230713,2.297456705686795,4.813434929973005,0,277193,PRISM,CLEAR,0.0,False,False,False
1.3073737621307373,-4.295896306243535,4.924208989963913,0,277193,PRISM,CLEAR,0.0,False,False,False
1.327046275138855,-5.124409253106816,4.970292473759647,0,277193,PRISM,CLEAR,0.0,False,False,False
1.3468714952468872,-8.519015077971247,5.05049212907887,0,277193,PRISM,CLEAR,0.0,False,False,False
1.366832971572876,-4.673768592374163,5.154986976224419,0,277193,PRISM,CLEAR,0.0,False,False,False
1.3869142532348633,-6.526845788308394,5.221899934477908,0,277193,PRISM,CLEAR,0.0,False,False,False
1.4070990085601807,3.1188966100678917,5.363016483490328,0,277193,PRISM,CLEAR,0.0,False,False,False
1.4273717403411865,10.491313434940952,5.316170159854915,0,277193,PRISM,CLEAR,0.0,False,False,False
1.4477170705795288,-4.2654387735222565,5.3565275555561955,0,277193,PRISM,CLEAR,0.0,False,False,False
1.4681204557418823,2.4160435521174475,5.495135087908683,0,277193,PRISM,CLEAR,0.0,False,False,False
1.4885679483413696,-3.6511126914760177,5.593081970355454,0,277193,PRISM,CLEAR,0.0,False,False,False
1.509046196937561,0.44474651690408895,5.86409185190355,0,277193,PRISM,CLEAR,0.0,False,False,False
1.5295425653457642,-4.248751119158185,6.281243218171569,0,277193,PRISM,CLEAR,0.0,False,False,False
1.5500452518463135,1.144009315329883,5.884732340222545,0,277193,PRISM,CLEAR,0.0,False,False,False
1.5705429315567017,-1.3695772603923568,5.943251483246637,0,277193,PRISM,CLEAR,0.0,False,False,False
1.5910251140594482,-4.127888358299942,5.942279866885888,0,277193,PRISM,CLEAR,0.0,False,False,False
1.6114822626113892,-6.250368600122707,6.002427330215167,0,277193,PRISM,CLEAR,0.0,False,False,False
1.631905198097229,7.2528526806543345,6.002060960064894,0,277193,PRISM,CLEAR,0.0,False,False,False
1.6522859334945679,9.126465297990688,5.95925989318335,0,277193,PRISM,CLEAR,0.0,False,False,False
1.672616720199585,-0.46704808665670267,6.041405572900095,0,277193,PRISM,CLEAR,0.0,False,False,False
1.6928905248641968,13.244415801800683,6.055128229087346,0,277193,PRISM,CLEAR,0.0,False,False,False
1.7131011486053467,0.6348696398721406,6.129306897897743,0,277193,PRISM,CLEAR,0.0,False,False,False
1.7332427501678467,-0.7576644887219401,6.158072313787902,0,277193,PRISM,CLEAR,0.0,False,False,False
1.7533100843429565,8.581240965608568,6.1795911024909085,0,277193,PRISM,CLEAR,0.0,False,False,False
1.7732986211776733,2.9819498350959623,6.215269268296731,0,277193,PRISM,CLEAR,0.0,False,False,False
1.7932041883468628,-4.052835903420059,6.202648592947371,0,277193,PRISM,CLEAR,0.0,False,False,False
1.8130228519439697,-4.1677292107117205,6.441350280387522,0,277193,PRISM,CLEAR,0.0,False,False,False
1.8327516317367554,-3.4345737491252333,6.343967805281479,0,277193,PRISM,CLEAR,0.0,False,False,False
1.8523874282836914,3.623869222707157,6.272725029232188,0,277193,PRISM,CLEAR,0.0,False,False,False
1.8719278573989868,17.989329224862892,6.203890176499386,0,277193,PRISM,CLEAR,0.0,False,False,False
1.8913707733154297,8.951050460386433,6.294246540142379,0,277193,PRISM,CLEAR,0.0,False,False,False
1.9107145071029663,17.770058415696354,6.315079859820186,0,277193,PRISM,CLEAR,0.0,False,False,False
1.9299572706222534,28.07766398884245,6.512841520398487,0,277193,PRISM,CLEAR,0.0,False,False,False
1.949096918106079,18.644368205919978,7.7214421942815585,0,277193,PRISM,CLEAR,0.0,False,False,False
1.9681332111358643,30.385087887227183,6.692747276601083,0,277193,PRISM,CLEAR,0.0,False,False,False
1.9870655536651611,31.239176236669824,6.627513410140579,0,277193,PRISM,CLEAR,0.0,False,False,False
2.0058934688568115,20.00667197427593,6.6145061121007735,0,277193,PRISM,CLEAR,0.0,False,False,False
2.024616003036499,20.407270647484452,6.755429257619519,0,277193,PRISM,CLEAR,0.0,False,False,False
2.043231964111328,15.893069050071691,6.763649585522787,0,277193,PRISM,CLEAR,0.0,False,False,False
2.0617427825927734,22.30513812618834,6.903677184588144,0,277193,PRISM,CLEAR,0.0,False,False,False
2.080148458480835,31.7606933107069,6.811837424184259,0,277193,PRISM,CLEAR,0.0,False,False,False
2.098447322845459,35.34437163178373,6.875842693864662,0,277193,PRISM,CLEAR,0.0,False,False,False
2.1166412830352783,20.27769466139054,6.782325838733709,0,277193,PRISM,CLEAR,0.0,False,False,False
2.1347310543060303,7.841636998274684,6.7481525611707465,0,277193,PRISM,CLEAR,0.0,False,False,False
2.152714490890503,19.084101920686305,6.986491119287542,0,277193,PRISM,CLEAR,0.0,False,False,False
2.1705949306488037,11.497805586979345,6.975914747575173,0,277193,PRISM,CLEAR,0.0,False,False,False
2.188371181488037,21.35142852217772,7.488413368444555,0,277193,PRISM,CLEAR,0.0,False,False,False
2.206044912338257,26.973415861066186,7.05455597168876,0,277193,PRISM,CLEAR,0.0,False,False,False
2.223616123199463,27.79003296278238,7.017583812035061,0,277193,PRISM,CLEAR,0.0,False,False,False
2.241086006164551,8.302546793214727,7.013540390217521,0,277193,PRISM,CLEAR,0.0,False,False,False
2.2584550380706787,17.3892116045778,6.85761142793599,0,277193,PRISM,CLEAR,0.0,False,False,False
2.275724411010742,10.701530044965919,6.7756608139586385,0,277193,PRISM,CLEAR,0.0,False,False,False
2.292894124984741,30.110679653304512,7.104896875250595,0,277193,PRISM,CLEAR,0.0,False,False,False
2.309966802597046,28.88314557802933,7.143060210113293,0,277193,PRISM,CLEAR,0.0,False,False,False
2.3269405364990234,22.49233172462441,7.3170811018800554,0,277193,PRISM,CLEAR,0.0,False,False,False
2.3438193798065186,11.467469740140311,7.082358234122876,0,277193,PRISM,CLEAR,0.0,False,False,False
2.360602378845215,17.3122832331926,6.891294744165681,0,277193,PRISM,CLEAR,0.0,False,False,False
2.3772902488708496,26.074391823383596,6.971054033434171,0,277193,PRISM,CLEAR,0.0,False,False,False
2.393885850906372,21.785859113081056,8.721684369219378,0,277193,PRISM,CLEAR,0.0,False,False,False
2.410388469696045,26.11255609431607,7.3202029714148615,0,277193,PRISM,CLEAR,0.0,False,False,False
2.4267990589141846,19.3903159795589,6.952958564438821,0,277193,PRISM,CLEAR,0.0,False,False,False
2.443119525909424,12.30823338616288,6.883985694046588,0,277193,PRISM,CLEAR,0.0,False,False,False
2.46052885055542,29.452102063564876,7.353007973420904,0,277193,PRISM,CLEAR,0.0,False,False,False
2.4766645431518555,14.418868414788538,7.4994751533829005,0,277193,PRISM,CLEAR,0.0,False,False,False
2.49271297454834,14.14632758575969,6.988945711068523,0,277193,PRISM,CLEAR,0.0,False,False,False
2.5086750984191895,4.409387176569632,6.930110943629009,0,277193,PRISM,CLEAR,0.0,False,False,False
2.5245513916015625,19.84881911450929,6.947767640119576,0,277193,PRISM,CLEAR,0.0,False,False,False
2.5403432846069336,32.4575834220228,10.842860357583266,0,277193,PRISM,CLEAR,0.0,False,False,False
2.55605149269104,28.861784743654123,15.270112202110468,0,277193,PRISM,CLEAR,0.0,False,False,False
2.5716769695281982,26.552195202925226,7.145214299181671,0,277193,PRISM,CLEAR,0.0,False,False,False
2.5872209072113037,29.489215146799275,7.355485990333,0,277193,PRISM,CLEAR,0.0,False,False,False
2.602684259414673,15.331542958603661,7.59372150728851,0,277193,PRISM,CLEAR,0.0,False,False,False
2.618067741394043,11.898180815672854,7.690256823144769,0,277193,PRISM,CLEAR,0.0,False,False,False
2.6333725452423096,17.18350551597625,7.4492980503219774,0,277193,PRISM,CLEAR,0.0,False,False,False
2.64859938621521,21.42194299336477,7.763601338400809,0,277193,PRISM,CLEAR,0.0,False,False,False
