method,centroid_GHz,offset_MHz,SNR_proxy,mask_pixels
Fixed beam,279.9003536089089,-0.6463910910952109,2.4638044828181123,23
Target-seeded mask,279.89991435515907,-1.0856448409413133,2.0353925007962523,23
Free optimized mask,279.90165191949467,0.6519194946577045,4.370990670521949,21
