object,mass_Msun,rs_km,rs_AU,rs_light_seconds,hawking_temperature_K,T_over_CMB,note
Primordial example: asteroid mass,5.028992139685286e-16,1.4852320538237332e-15,9.928163060570442e-24,4.9542008619300665e-21,122690066.98422717,45015618.045946494,theoretical tiny black hole scale
Earth-mass black hole,3.0034146856628466e-06,8.8701028718461e-06,5.92929754303388e-14,2.9587478387618744e-11,0.0205435295174688,0.007537526882211998,hypothetical; radius centimeter scale
1 solar-mass black hole,1.0,2.9533393820668783,1.9741854401052504e-08,9.851279787922078e-06,6.170073824811396e-08,2.2638318931614e-08,reference scaling value
10 solar-mass black hole,10.0,29.533393820668785,1.9741854401052506e-07,9.851279787922079e-05,6.170073824811395e-09,2.2638318931614e-09,stellar black-hole scale
Sagittarius A*,4100000.0,12108691.466474202,0.08094160304431527,40.390247130480525,1.5048960548320476e-14,5.521541202832683e-15,Milky Way central black hole
1 billion solar-mass black hole,1000000000.0,2953339382.0668783,19.741854401052503,9851.279787922078,6.170073824811396e-17,2.2638318931614002e-17,quasar/supermassive scale
