mass_Msun,mass_kg,schwarzschild_radius_km,schwarzschild_radius_AU,hawking_temperature_K,temperature_relative_to_CMB
2.7395697847975753e-18,5447552329976.435,8.090879335363164e-18,5.408418781299649e-26,22522053860.611176,8263457663.038406
2.8196004951193096e-18,5606690996529.894,8.327237183931125e-18,5.566414244378095e-26,21882794514.654507,8028910113.613835
2.9019691325966907e-18,5770478561094.542,8.570499724840268e-18,5.729025209207252e-26,21261679717.76597,7801019892.777828
2.986743994803977e-18,5939050831347.864,8.820868664006337e-18,5.896386507863803e-26,20658194460.40719,7579598040.875873
3.0739953744840165e-18,6112547582300.232,9.078551599755069e-18,6.068636911257233e-26,20071838350.91837,7364460961.628461
3.163795617832784e-18,6291112672191.956,9.343762194956172e-18,6.245919244194277e-26,19502125200.609283,7155430269.898839
3.2562191844865743e-18,6474894161776.019,9.616720354185894e-18,6.428380503804787e-26,18948582620.626827,6952332643.781629
3.3513427092618246e-18,6664044437085.86,9.897652406065655e-18,6.616171981427578e-26,18410751630.263535,6754999680.889208
3.449245065698306e-18,6858720335789.11,1.0186791290926665e-17,6.809449388056474e-26,17888186276.385242,6563267758.717756
3.550007431458581e-18,7059083277232.445,1.0484376753956712e-17,7.008372983450969e-26,17380453263.660675,6376977898.976583
3.6537133556382275e-18,7265299396285.946,1.0790655543990104e-17,7.213107709019086e-26,16887131595.285236,6195975635.767837
3.760448828042127e-18,7477539681096.929,1.1105881618104052e-17,7.42382332458162e-26,16407812223.903698,6020110887.508237
3.870302350484514e-18,7695980114867.94,1.1430316352191921e-17,7.640694549131655e-26,15942097712.44094,5849237832.486128
3.9833650101721704e-18,7920801821777.056,1.1764228757688703e-17,7.863901205706602e-26,15489601904.558353,5683214787.950231
4.099730555231089e-18,8152191217160.363,1.2107895704626883e-17,8.093628370491829e-26,15049949604.465185,5521904092.630778
4.219495472439469e-18,8390340162081.711,1.246160215120837e-17,8.330066526280024e-26,14622776265.817898,5365171992.595083
4.342759067231826e-18,8635446122418.469,1.2825641380083776e-17,8.573411720414131e-26,14207727689.448685,5212888530.342574
4.469623546039909e-18,8887712332593.979,1.3200315241533075e-17,8.823865727343589e-26,13804459729.674744,5064927437.048154
4.600194101039243e-18,9147347964093.504,1.3585934403750936e-17,9.081636215929735e-26,13412638008.942919,4921166027.863849
4.7345789973711415e-18,9414568298902.594,1.3982818610442906e-17,9.346936921638222e-26,13031937640.574394,4781485100.192403
4.8728896629130946e-18,9689594908012.8,1.4391296945947838e-17,9.619987823762413e-26,12662042959.37787,4645768834.847871
5.015240780671279e-18,9972655835141.418,1.4811708108104323e-17,9.901015327823328e-26,12302647259.90991,4513904700.021981
5.1617503838721005e-18,10263985785818.156,1.5244400689088304e-17,1.019025245329799e-25,11953452542.164385,4385783357.976293
5.312539953832003e-18,10563826321996.322,1.568973346445581e-17,1.048793902683256e-25,11614169264.479305,4261298574.3824277
5.467734520685977e-18,10872426062348.443,1.6148075690628463e-17,1.0794321881099117e-25,11284516103.457972,4140347130.23591
5.627462767058609e-18,11190040888413.031,1.6619807411069236e-17,1.110965505946151e-25,10964219720.704437,4022828736.270203
5.791857134764081e-18,11516934156764.332,1.7105319771403792e-17,1.1434200026620964e-25,10653014536.179026,3908645949.7996793
5.96105393462277e-18,11853376917379.34,1.7605015343746147e-17,1.176822588541439e-25,10350642507.98773,3797704093.9232183
